Time,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Professional and related occupations,Computer and mathematical occupations,Architecture and engineering occupations
12:00,55.80,56.60,58.30,55.10,49.80,51.40
13:00,64.30,65.00,68.50,63.90,65.80,80.60
14:00,73.50,74.90,79.60,72.40,80.00,79.90
15:00,70.20,73.00,78.60,68.20,74.50,83.60
16:00,60.00,67.10,73.30,54.90,66.80,61.40
17:00,37.50,40.60,38.80,35.30,43.30,33.70
18:00,18.60,21.30,18.90,16.70,14.30,11.30
19:00,12.80,13.20,7.60,12.50,9.40,3.60
20:00,11.20,11.30,6.60,11.10,5.50,5.00
21:00,10.00,10.40,5.80,9.70,8.00,3.40
22:00,7.90,7.50,4.50,8.20,6.40,2.60
